lat,lng,count
-32.661,150.203,334.6
-32.67,150.201,349.6
-32.672,150.212,327.9
-32.672,150.145,357.9
-32.673,150.156,360.4
-32.676,150.111,342.3
-32.678,150.122,341.3
-32.679,150.132,349.8
-32.681,150.143,344.4
-32.682,150.155,371.2
-32.684,150.165,353.9
-32.685,150.176,344.8
-32.687,150.187,355.4
-32.685,150.109,345.8
-32.687,150.12,332.7
-32.693,150.112,344.2
-32.702,150.111,351.2
-32.712,150.109,337
-32.721,150.107,338.1
-32.722,150.118,373.7
-32.724,150.129,386.4
-32.731,150.116,349.6
-32.733,150.127,380.3
-32.887,151.215,338.9
-32.763,150.077,357
-32.839,150.632,332.7
-32.805,150.119,332.2
-32.806,150.13,332.6
-32.885,150.571,325.1
-32.886,150.582,324.3
-32.956,150.815,328.7
-32.957,150.827,325.2
-32.987,150.792,334.8
-33.007,150.8,340.3
-33.016,150.798,334.8
-33.026,150.796,328.6
-32.999,150.194,375
-33,150.205,392.6
-33.006,150.182,331.1
-33.008,150.193,348.7
-33.009,150.203,356.7
-33.011,150.215,372.4
-33.012,150.226,338
-33.019,150.202,347.7
-33.02,150.213,338.1
-33.011,150.011,336.8
-33.013,150.022,341.9
-33.045,149.998,343.2
-33.046,150.009,333.2
-33.209,150.941,328.5
-33.127,150.255,330
-33.136,150.253,343.9
-33.138,150.265,360.2
-33.232,150.973,341
-33.238,150.948,332.9
-33.24,150.959,369.8
-33.241,150.971,373.3
-33.249,150.957,371.8
-33.251,150.969,368.9
-33.154,150.182,334.4
-33.171,150.047,339.5
-33.173,150.058,372.5
-33.175,150.069,355.2
-33.176,150.08,365.1
-33.178,150.091,352.4
-33.179,150.102,359.6
-33.181,150.114,355.2
-33.187,150.158,333.1
-33.188,150.169,340.8
-33.181,150.045,352.9
-33.182,150.057,376.7
-33.184,150.068,344.9
-33.185,150.079,347.1
-33.191,150.123,331.6
-33.193,150.134,361.8
-33.194,150.145,350.2
-33.19,150.044,331.6
-33.481,150.37,330.8
-33.807,150.838,329
-33.812,150.801,329.8
-33.747,150.164,331.7
-33.749,150.175,335.5
-33.758,150.173,380.3
-33.76,150.185,392.4
-33.766,150.16,344.6
-33.767,150.171,369.1
-33.769,150.183,372.3
-33.77,150.195,350.8
-33.772,150.206,346.8
-33.773,150.216,336.4
-33.773,150.147,347.4
-33.775,150.158,358.1
-33.776,150.17,341.2
-33.78,150.193,373.8
-33.781,150.204,392.4
-33.783,150.215,349.4
-33.781,150.133,343.7
-33.782,150.145,362
-33.784,150.156,353.3
-33.787,150.109,333.9
-33.789,150.121,354.5
-33.79,150.132,359
-33.791,150.09,351.1
-33.793,150.102,363.1
-33.795,150.113,354.5
-33.796,150.125,352.1
-33.798,150.066,348.9
-33.799,150.078,359.9
-33.801,150.089,340.2
-33.805,150.123,336.8
-33.811,150.169,328.6
-33.807,150.064,348.5
-33.808,150.076,398.9
-33.81,150.087,396.7
-33.811,150.099,335.4
-33.81,150.018,338
-33.811,150.029,348.2
-33.813,150.04,358.2
-33.814,150.052,340.5
-33.816,150.063,358.1
-33.818,150.074,345.3
-33.819,150.086,342.9
-33.819,150.016,353.1
-33.821,150.027,353
-33.822,150.039,375.7
-33.824,150.05,383.8
-33.825,150.061,362.2
-33.827,150.072,344.4
-33.828,150.084,347.3
-33.83,150.025,374.1
-33.831,150.037,354.7
-33.833,150.048,385.3
-33.834,150.059,337.6
-33.863,150.275,326.6
-33.941,150.868,330.6
-33.868,150.239,333.5
-33.87,150.251,332.7
-33.857,150.089,333.9
-33.859,150.101,342.4
-33.877,150.237,336.5
-33.882,150.202,333.4
-33.883,150.213,326.7
-34.038,150.759,327.1
-34.083,150.145,348.3
-34.085,150.156,330.9
-34.08,150.052,338.1
-34.082,150.064,336.8
-34.093,150.143,325.2
-34.195,150.222,334.7
-34.216,150.383,328.8
-34.218,150.395,329.3
-34.204,150.22,345.7
-34.227,150.393,337.5
-34.216,150.242,333.4
-34.23,150.346,339.1
-34.196,150.023,332.2
-34.198,150.035,340.5
-34.226,150.241,337.1
-34.207,150.033,343
-34.209,150.044,351.5
-34.21,150.056,331.5
-34.241,150.284,339.2
-34.25,150.354,333.4
-34.252,150.365,339.4
-34.253,150.376,344.4
-34.259,150.422,349.7
-34.261,150.434,397.7
-34.262,150.446,333.9
-34.206,149.952,347.7
-34.207,149.963,326.9
-34.216,150.031,350.2
-34.218,150.043,358.5
-34.249,150.271,339.5
-34.25,150.282,336.2
-34.256,150.328,345.1
-34.258,150.34,346.9
-34.259,150.352,378.9
-34.261,150.363,457.1
-34.262,150.374,463.4
-34.264,150.386,340.8
-34.27,150.432,335.6
-34.213,149.939,355.8
-34.215,149.95,371.1
-34.224,150.018,374.3
-34.226,150.03,402.7
-34.258,150.269,363
-34.259,150.28,335.4
-34.262,150.303,335.4
-34.267,150.338,341.2
-34.269,150.35,371.3
-34.27,150.361,407.6
-34.272,150.373,404.1
-34.224,149.948,344.8
-34.225,149.96,354.9
-34.232,150.005,345.7
-34.233,150.016,347.7
-34.235,150.028,386.6
-34.236,150.039,383.2
-34.266,150.256,370.1
-34.267,150.267,360.9
-34.275,150.325,342
-34.277,150.337,354.4
-34.278,150.349,339.9
-34.28,150.36,407.7
-34.281,150.371,380.5
-34.232,149.953,337
-34.233,149.964,326.8
-34.239,150.009,348.7
-34.241,150.02,366.7
-34.242,150.032,373.8
-34.244,150.044,349
-34.245,150.055,336.7
-34.262,150.18,333
-34.263,150.192,336.5
-34.271,150.249,341.3
-34.272,150.26,365.7
-34.282,150.329,327.2
-34.283,150.341,349.1
-34.285,150.353,357.3
-34.286,150.364,403.8
-34.288,150.376,331.1
-34.248,150.008,380.1
-34.25,150.019,352.1
-34.251,150.03,339.8
-34.259,150.087,330.7
-34.282,150.258,337.3
-34.285,150.281,344.8
-34.294,150.351,325.9
-34.295,150.363,351.1
-34.297,150.375,334.8
-34.256,149.994,339.7
-34.258,150.006,378.6
-34.268,150.086,342.6
-34.291,150.257,354.1
-34.293,150.268,400.3
-34.294,150.279,423.6
-34.296,150.291,363.5
-34.303,150.349,343.8
-34.305,150.361,397.6
-34.306,150.372,383
-34.308,150.384,341.7
-34.265,149.992,345
-34.267,150.004,380.1
-34.268,150.016,367.5
-34.303,150.278,345.8
-34.316,150.37,406.1
-34.317,150.382,423.4
-34.319,150.394,328.9
-34.274,149.991,356.6
-34.276,150.002,403.4
-34.278,150.014,412.9
-34.279,150.025,334.5
-34.325,150.369,363
-34.326,150.38,352.7
-34.328,150.392,351.6
-34.329,150.404,326.3
-34.284,149.989,423.2
-34.285,150.001,449.3
-34.287,150.012,401.8
-34.288,150.024,327.9
-34.334,150.367,356
-34.336,150.378,343.4
-34.337,150.39,356.7
-34.293,149.987,406.2
-34.294,149.999,374.4
-34.296,150.01,332.4
-34.342,150.353,347.3
-34.343,150.365,364.9
-34.345,150.377,436.1
-34.347,150.388,394.4
-34.302,149.986,336.7
-34.353,150.363,340.8
-34.354,150.375,399.6
-34.356,150.387,352.1
-34.84,150.175,381.7
-34.841,150.187,380.3
-34.843,150.198,386.9
-34.844,150.21,417.2
-34.846,150.221,416.3
-34.847,150.233,378.5
-34.849,150.245,395.6
-34.85,150.257,401.4
-34.847,150.161,366.3
-34.849,150.173,351.5
-34.854,150.208,373.6
-34.855,150.22,412.5
-34.857,150.231,370.7
-34.858,150.243,395.7
-34.86,150.255,417.2
-34.861,150.267,403.8
-34.863,150.279,327.7
-34.866,150.302,332.6
-34.869,150.325,337.3
-34.88,150.408,371.7
-34.854,150.136,393.8
-34.855,150.148,470
-34.857,150.16,381.6
-34.867,150.241,339.2
-34.869,150.253,417.2
-34.871,150.266,452.1
-34.872,150.277,409
-34.874,150.289,350.8
-34.875,150.3,364.1
-34.877,150.312,383.5
-34.878,150.324,395.3
-34.88,150.336,392.6
-34.882,150.348,411.8
-34.883,150.36,442.1
-34.885,150.372,393.3
-34.889,150.407,355.1
-34.861,150.123,338.3
-34.863,150.135,356.5
-34.864,150.146,393.8
-34.866,150.158,351.4
-34.877,150.24,333.6
-34.878,150.252,365.6
-34.88,150.264,415.7
-34.881,150.275,422.2
-34.883,150.287,361.2
-34.886,150.31,356.6
-34.888,150.322,338.3
-34.891,150.346,366.3
-34.892,150.358,427
-34.894,150.369,430.5
-34.895,150.381,351.5
-34.871,150.121,340.8
-34.872,150.133,349.4
-34.874,150.144,339.5
-34.895,150.308,328.1
-34.902,150.356,336.5
-34.903,150.368,383.6
-34.905,150.38,453.6
-34.906,150.392,351.7
-34.88,150.12,353.5
-34.881,150.131,347
-34.913,150.366,364.2
-34.914,150.378,459.4
-34.916,150.39,380.9
-34.927,150.473,355.1
-34.928,150.485,371.1
-34.93,150.497,370.3
-34.931,150.509,332.6
-34.933,150.521,333.6
-34.889,150.118,367.5
-34.922,150.364,326.4
-34.924,150.376,392.3
-34.925,150.388,337.3
-34.934,150.459,353.3
-34.936,150.471,330.5
-34.941,150.507,336.4
-34.942,150.519,366.7
-34.894,150.11,344.7
-34.896,150.122,364.2
-34.929,150.381,345.3
-34.939,150.452,339
-34.905,150.12,345.7
-34.907,150.132,340.6
-34.945,150.426,328.8
-34.946,150.438,326.2
-34.948,150.45,359.3
-34.916,150.13,343.7
-34.93,150.236,372.2
-34.956,150.436,342.8
-34.957,150.448,432.7
-34.959,150.46,423.7
-34.96,150.472,393
-34.962,150.484,360.5
-34.925,150.128,349.9
-34.927,150.14,333.1
-34.939,150.234,345.8
-34.965,150.434,325.7
-34.967,150.446,396
-34.968,150.458,419.3
-34.97,150.47,370.4
-34.933,150.115,343.6
-34.976,150.444,358.4
-34.978,150.457,369.8
-34.979,150.469,328.8
-34.942,150.113,345.3
-34.944,150.125,349
-34.987,150.455,353.6
-34.989,150.467,353.3
-34.953,150.123,352.4
-34.998,150.465,352.1
-34.961,150.11,347.4
-34.962,150.121,369.1
-35.007,150.463,362.9
-34.972,150.119,366.1
-34.973,150.131,342.2
-34.981,150.118,371.4
-34.982,150.129,341.5
-34.986,150.111,352.5
-34.988,150.122,342.7
-34.994,150.097,344.4
-34.995,150.109,345.3
-35.002,150.084,339.7
-35.009,150.071,350.8
-35.011,150.082,340.1
-35.02,150.081,348.3
-35.022,150.092,344.6
-35.071,150.47,332.2
-35.031,150.09,336.1
-35.079,150.457,331.1
-35.04,150.089,352.7
-35.042,150.1,341.6
-35.087,150.443,334.3
-35.088,150.455,347
-35.09,150.467,348.9
-35.049,150.087,349.3
-35.099,150.465,334.1
-35.147,150.351,331.6
-35.159,150.029,339.4
-35.16,150.041,334.4
-35.169,150.039,369.3
-35.215,150.394,359.1
-35.217,150.406,393.4
-35.219,150.418,355.7
-35.182,150.061,337.1
-35.183,150.072,334.6
-35.22,150.356,333.7
-35.225,150.392,356.5
-35.226,150.404,443.2
-35.228,150.342,334.7
-35.23,150.354,390.6
-35.231,150.366,340.5
-35.234,150.391,363.2
-35.19,149.976,334
-35.239,150.352,346.9
-35.241,150.364,331.5
-35.244,150.389,386.3
-35.199,149.974,345.8
-35.253,150.387,359.3
-35.208,149.972,369.5
-35.21,149.984,369
-35.259,150.361,333
-35.261,150.373,355.8
-35.262,150.385,370.4
-35.264,150.397,337.8
-35.217,149.971,375
-35.219,149.982,400.6
-35.27,150.371,356
-35.272,150.383,367.6
-35.273,150.395,331.4
-35.228,149.98,365.4
-35.23,149.992,341.1
-35.281,150.382,406.8
-35.283,150.394,403.7
-35.284,150.406,337.2
-35.237,149.979,342.2
-35.239,149.99,362.4
-35.24,150.002,335.6
-35.291,150.38,435
-35.292,150.392,500
-35.294,150.404,428.7
-35.295,150.416,337.8
-35.244,149.983,363
-35.246,149.994,368.6
-35.247,150.006,336.8
-35.293,150.36,331.8
-35.296,150.385,423.4
-35.298,150.397,442
-35.299,150.409,369.7
-35.253,149.981,351
-35.255,149.992,404.2
