lat,lng,count
-29.064,150.79,334.9
-29.066,150.807,331.9
-29.076,150.789,347.8
-29.077,150.806,340.4
-29.087,150.787,364
-29.089,150.804,348.6
-29.1,150.803,332.8
-29.406,152.142,349.1
-29.408,152.164,343.5
-29.97,151.003,329
-30.074,151.311,327.1
-30.086,151.309,328.5
-30.078,151.304,332.9
-30.439,151.341,337.3
-30.451,151.339,362.1
-30.454,151.36,329.4
-30.443,151.334,340.3
-30.445,151.354,329.4
-30.455,151.333,353.2
-30.457,151.354,338.9
-30.449,151.021,336.1
-30.451,151.041,342.5
-30.461,151.02,332.8
-30.465,151.058,335.3
-30.475,151.037,337.5
-30.477,151.056,357.5
-30.779,152.039,326.7
-30.86,151.021,360.3
-30.863,151.042,344.7
-30.865,151.014,341.3
-30.867,151.034,360.1
-31.328,151.291,348.5
-31.331,151.286,335
-31.425,151.764,330.8
-31.442,151.806,326.2
-31.493,151.255,327.8
-31.523,151.268,329.6
-31.535,151.267,331.1
-31.537,151.289,331.6
-31.553,151.454,332
-31.563,151.434,331.7
-31.565,151.452,333.9
-31.567,151.472,329.8
-32.015,151.425,329.4
-32.541,150.48,343.1
-32.543,150.499,326.6
-32.535,150.475,332.7
-32.537,150.494,334.7
-32.525,150.249,333.6
-32.527,150.268,328.6
-32.542,150.417,339
-32.558,150.588,324.5
-32.535,150.23,325.6
-32.537,150.248,327.9
-32.552,150.396,344.3
-32.553,150.416,336.5
-32.555,150.436,345.3
-32.559,150.473,324.9
-32.545,150.21,326.3
-32.562,150.378,331.6
-32.563,150.395,330.2
-32.589,150.663,325.6
-32.591,150.682,344.4
-32.555,150.191,349.2
-32.557,150.209,343
-32.601,150.661,332.5
-32.603,150.68,333
-32.605,150.7,327.2
-32.566,150.189,360.1
-32.585,150.376,326.4
-32.587,150.392,324.3
-32.631,150.838,326
-32.643,150.836,327.4
-32.591,150.203,330.2
-32.671,150.872,329.5
-32.675,150.913,328.8
-32.677,150.933,326.2
-32.662,150.866,326.1
-32.668,150.927,324.2
-32.674,150.865,324.4
-32.678,150.906,327.6
-32.68,150.927,327.7
-32.624,150.209,324.5
-32.652,150.135,324.3
-32.653,150.152,332.3
-32.655,150.169,336.4
-32.657,150.187,327.6
-32.7,150.066,324.1
