lat,lng,count,,,,
-19.577,144.524,336.8,,,,
-19.579,144.539,328.7,,,,
-19.391,143.324,326.1,,,,
-19.613,144.526,325.5,,,,
-19.88,144.531,327.7,,,,
-21.331,140.824,331.8,,,,
-21.488,140.752,329,,,,
-25.966,150.482,352,,,,
-25.967,150.494,358.4,,,,
-25.969,150.506,337.5,,,,
-25.992,150.527,337.8,,,,
-26.285,150.439,332.4,,,,
-26.293,150.426,335.1,,,,
-26.295,150.438,380.1,,,,
-26.296,150.45,395.4,,,,
-26.298,150.461,352.1,,,,
-26.305,150.436,336.1,,,,
-26.306,150.448,363.9,,,,
-26.308,150.46,395.3,,,,
-26.309,150.472,327.5,,,,
-26.308,150.454,381.1,,,,
-26.31,150.466,351.5,,,,
-26.5,150.691,325.4,,,,
-26.51,150.689,328.5,,,,
-30.255,150.268,330.3,,,,
-30.265,150.266,332.7,,,,
-30.519,150.89,327.7,,,,
-30.521,150.906,327.1,,,,
-30.737,152.061,328,,,,
-30.749,152.059,325.9,,,,
-31.349,151.722,334.2,,,,
-31.374,151.737,346,,,,
-31.387,151.752,334.7,,,,
-31.373,151.748,339.5,,,,
-31.385,151.747,333.2,,,,
-31.386,151.763,332.7,,,,
-31.4,151.779,459.5,,,,
-31.401,151.797,434.5,,,,
-31.411,151.778,373.9,,,,
-31.413,151.796,393.6,,,,
-31.415,151.814,331.6,,,,
-31.442,152.084,333.6,,,,
-31.49,151.333,346.3,,,,
-31.597,152.132,333.3,,,,
-31.617,152.142,328.4,,,,
-31.624,152.087,330.4,,,,
-31.59,151.215,343.7,,,,
-31.594,151.248,331.9,,,,
-31.605,151.247,338.6,,,,
-31.591,151.209,337.3,,,,
-31.592,151.224,341.6,,,,
-31.605,151.239,336.2,,,,
-31.628,151.136,329.3,,,,
-10.015,148.01,328.7,,,,
-19.92,122.954,335.9,,,,
-19.93,122.953,338.7,,,,
-19.939,122.951,337.1,,,,
-19.94,122.961,332.9,,,,
-21.625,130.822,342.6,,,,
-21.636,130.814,337,,,,
-21.588,127.726,337.7,,,,
-21.649,125.454,336.3,,,,
-21.659,125.452,380.6,,,,
-21.66,125.463,392.6,,,,
-21.669,125.461,345.9,,,,
-21.717,123.99,338.1,,,,
-21.726,123.989,335.2,,,,
-21.735,123.987,380.7,,,,
-21.737,123.997,346.3,,,,
-21.743,123.976,336,,,,
-21.744,123.986,363.1,,,,
-21.746,123.995,338.3,,,,
-21.753,123.984,338.6,,,,
-21.762,123.983,345.6,,,,
-22.514,128.139,343.1,,,,
-22.637,129.077,338,,,,
-21.391,118.53,338.6,,,,
-21.394,118.547,338.2,,,,
-21.472,118.582,335.8,,,,
-21.693,119.388,342.6,,,,
-23.16,129.678,346.5,,,,
-23.163,129.697,345.4,,,,
-21.695,119.381,336,,,,
-23.166,129.69,348.5,,,,
-23.658,128.461,334.7,,,,
-23.675,128.604,340.9,,,,
-23.677,128.62,346.4,,,,
-23.675,128.615,346.4,,,,
-23.711,128.528,337,,,,
-23.713,128.544,341.5,,,,
-23.305,124.408,352.1,,,,
-23.306,124.418,338.8,,,,
-23.639,126.334,344,,,,
-23.492,124.63,337.7,,,,
-23.501,124.629,338.7,,,,
-24.64,128.281,345,,,,
-24.651,128.28,416.4,,,,
-24.65,128.273,368.2,,,,
-24.652,128.289,425.9,,,,
-24.661,128.272,385.4,,,,
-24.663,128.287,420.9,,,,
-24.674,128.286,362.9,,,,
-24.629,127.332,340.7,,,,
-24.633,127.325,348.5,,,,
-24.635,127.339,345.3,,,,
-24.644,127.324,352.1,,,,
-24.645,127.338,348.8,,,,
-24.676,127.32,359.8,,,,
-24.677,127.333,340,,,,
-24.675,127.222,339.6,,,,
-24.676,127.236,342.4,,,,
-24.686,127.318,399.7,,,,
-24.688,127.332,359.3,,,,
-24.685,127.221,346.3,,,,
-24.687,127.235,351.8,,,,
-24.693,127.289,342.9,,,,
-24.697,127.317,377.5,,,,
-24.698,127.33,341.5,,,,
-24.696,127.219,344.4,,,,
-24.697,127.233,367.8,,,,
-24.699,127.247,364.7,,,,
-24.701,127.26,343,,,,
-24.702,127.274,341.8,,,,
-24.704,127.288,350.5,,,,
-24.706,127.218,355.5,,,,
-24.708,127.232,359.7,,,,
-24.709,127.245,365.9,,,,
-24.714,127.286,346.4,,,,
-24.701,127.212,338.7,,,,
-24.702,127.226,349.8,,,,
-24.704,127.239,368.3,,,,
-24.705,127.253,349.2,,,,
-24.707,127.267,344.4,,,,
-24.709,127.281,348.1,,,,
-24.71,127.294,341.6,,,,
-24.711,127.211,359.4,,,,
-24.713,127.224,416.2,,,,
-24.714,127.238,352,,,,
-24.719,127.279,348.2,,,,
-24.721,127.293,344,,,,
-24.722,127.307,346,,,,
-24.723,127.223,371.6,,,,
-24.725,127.236,356.9,,,,
-24.728,127.264,333.9,,,,
-24.73,127.278,356.1,,,,
-24.731,127.291,352.2,,,,
-24.733,127.305,374.9,,,,
-24.734,127.221,352.4,,,,
-24.735,127.235,383.5,,,,
-24.737,127.249,345.7,,,,
-24.74,127.276,334.5,,,,
-24.742,127.29,390.6,,,,
-24.743,127.304,421.6,,,,
-24.746,127.234,413.4,,,,
-24.747,127.247,349.3,,,,
-24.751,127.275,358.7,,,,
-24.752,127.289,416.1,,,,
-24.754,127.302,357,,,,
-24.761,127.273,353.7,,,,
-24.763,127.287,433.9,,,,
-24.765,127.301,357.2,,,,
-24.773,127.286,384,,,,
-24.775,127.299,340.5,,,,
-25.267,130.105,340.6,,,,
-25.284,130.015,339.9,,,,
-25.298,130.146,335.2,,,,
-25.305,130.213,355.3,,,,
-25.297,130.014,335.1,,,,
-25.309,130.123,343.3,,,,
-25.311,130.145,356.4,,,,
-25.315,130.189,344.8,,,,
