lat,lng,count
-30.611,151.969,325.5
-30.613,151.979,324.9
-30.757,152.024,331.5
-30.768,152.033,327.8
-30.77,152.043,326.9
-31.52,151.288,328.3
-32.027,151.41,323.8
-32.029,151.421,335.3
-32.05,151.438,333.9
-32.544,150.235,334.5
-32.568,150.206,328.3
-32.573,150.199,339.9
-32.575,150.21,352.7
-32.584,150.208,324.9
-32.595,150.217,332.3
-32.604,150.215,334.4
-32.615,150.225,363.6
-32.617,150.236,368.5
-32.619,150.247,323.4
-32.665,150.137,324.4
-32.666,150.148,326.2
-32.67,150.171,322.7
-32.672,150.182,323.8
-32.705,150.093,342.5
-32.726,150.1,335.7
-32.728,150.111,355.9
-34.27,149.936,338.6
-34.279,149.933,341.1
-34.281,149.945,425.3
-34.282,149.956,416.2
-34.345,150.349,350.4
-34.286,149.937,357.8
-34.353,150.352,336.6
-34.346,150.075,323.3
-34.794,150.273,331.7
-34.829,150.327,327.8
-34.856,150.379,324.5
-34.858,150.39,323.1
-34.886,150.1,329.3
-34.897,150.109,325
-34.997,150.57,329
-34.944,150.11,320.7
-35.017,150.52,330.7
-34.939,149.976,327.6
-34.941,149.988,336.5
-34.945,150.01,321.2
-34.318,146.116,328.5
-35.124,150.564,329.3
-35.132,150.55,317.4
-35.133,150.561,332.6
-35.146,150.582,330
-35.138,150.469,318
-35.147,150.467,330.1
-35.148,150.478,319.3
-35.156,150.465,331.3
-35.165,150.463,319.3
-35.181,150.447,338.7
-35.183,150.459,350.5
-35.19,150.445,349.8
-35.192,150.457,444.7
-35.194,150.468,365
-35.2,150.46,378.7
-35.202,150.471,335.5
-35.211,150.469,330.5
-35.238,150.52,323.7
-35.242,149.958,321.3
-35.253,149.967,325.4
-35.255,149.978,325.9
-35.284,149.983,332.1
-35.415,150.352,321.4
-35.417,150.363,327
-35.426,150.361,314.2
-34.761,145.941,336.3
-35.263,147.884,332.6
-35.265,147.897,322
-35.596,149.862,315.4
-35.642,150.154,342.6
-35.605,149.86,369.3
-35.614,149.858,334.2
-35.616,149.869,335.3
-35.662,150.161,325.1
-35.625,149.867,349.5
-35.627,149.878,348.3
-35.673,150.17,345.8
-35.636,149.876,341.8
-35.645,149.874,338.4
-35.654,149.872,328.9
-35.702,149.947,348.4
-35.704,149.958,352.2
-35.386,147.997,325.2
-35.388,148.01,388.8
-35.39,148.023,333.5
-35.713,149.956,353.1
-35.715,149.967,329.9
-35.716,149.979,322.9
-35.396,147.995,344.7
-35.398,148.008,337.6
-35.4,148.021,356.7
-35.403,148.034,330.8
-35.729,149.999,332
-35.403,147.98,389.3
-35.405,147.993,382.7
-35.41,148.019,365.4
-35.412,148.032,332.3
-35.413,147.977,362.7
-35.415,147.99,360.3
-35.42,148.017,325.4
-35.753,149.971,324.5
-35.449,148.003,321
-35.459,148.001,325.3
-35.473,148.079,316.3
-35.485,148.089,326
-35.801,149.988,314.9
