lat,lng,count
-13.205,143.147,337.2
-14.474,143.581,351.4
-14.475,143.591,321.7
-14.483,143.58,321.6
-13.643,136.944,312.6
-14.712,143.767,337.5
-14.714,143.777,329.5
-13.637,136.956,310.5
-14.718,143.75,334.1
-14.72,143.769,343
-13.631,136.408,314.9
-13.631,136.402,312
-15.118,141.702,331.8
-15.128,141.71,334.2
-15.137,141.709,334.4
-15.407,142.97,326
-16.004,145.118,331.8
-16.004,145.112,325.7
-16.006,145.123,323.4
-16.014,145.111,322.1
-16.016,145.122,331.8
-16.017,145.133,328
-15.573,141.542,333.3
-15.95,143.419,328.1
-15.957,143.412,338.8
-14.851,134.277,325.9
-14.856,134.303,325.8
-14.856,134.296,328.8
-16.63,145.15,333.6
-16.64,145.148,344.3
-16.642,145.161,337.7
-17.084,144.658,333.6
-17.405,145.239,330.8
-16.357,137.685,336.9
-16.36,137.699,329.5
-16.702,139.831,312.1
-16.359,137.678,327.2
-16.361,137.692,335.8
-16.364,137.706,329.5
-16.519,137.339,331.4
-16.67,137.943,329.9
-17.054,139.264,314
-17.071,139.374,312.7
-17.131,139.601,312.6
-17.85,143.335,339.9
-18.117,144.224,337.8
-18.118,144.235,327.9
-18.36,145.31,337.7
-18.362,145.322,329.1
-18.383,145.32,334.6
-18.393,145.318,328.8
-18.395,145.331,332
-18.39,145.217,333.7
-18.403,145.317,326.5
-18.405,145.33,335.6
-18.414,145.316,343.6
-18.415,145.329,330.3
-18.105,143.001,336
-18.411,145.322,334.8
-18.42,145.308,346.6
-18.422,145.321,340.9
-18.438,145.281,338.1
-18.439,145.293,331.3
-18.148,142.975,338.2
-18.16,142.993,337.3
-18.297,143.117,331.4
-18.469,144.038,338.6
-19.147,145.929,325.5
-19.205,146.128,331.5
-19.216,146.127,336.3
-19.238,146.124,332.7
-19.414,143.359,352.7
-19.597,144.567,332.8
-19.599,144.579,332.1
-19.598,144.573,333.6
-19.608,144.572,336.5
-19.617,144.558,334.1
-19.625,144.545,339.8
-19.627,144.557,350.2
-20.089,147.025,325.5
-19.843,144.574,337.4
-19.844,144.586,334.4
-19.842,144.489,331.3
-19.885,144.586,334
-19.9,144.548,334.8
-19.902,144.56,335.4
-19.91,144.546,345.3
-19.279,139.125,338.9
-20.531,138.579,336.6
-21.35,140.701,339.7
-21.367,140.692,363.8
-21.369,140.702,371.4
-21.376,140.691,347.6
-21.417,140.841,352.2
-21.499,140.772,337.9
-21.508,140.771,343.7
-20.993,135.269,344.9
-20.998,135.262,337.1
-21.001,135.28,334.1
-24.651,146.807,335.7
-24.664,146.806,331.3
-24.877,147.755,328.9
-24.871,147.749,331.6
-25.405,149.223,323.5
-25.417,149.19,325.1
-25.045,128.903,333.2
-25.055,128.946,336.5
-25.062,128.898,323.5
-25.047,128.896,335.8
-25.057,128.939,339.9
-25.404,128.361,327.9
-25.414,128.405,325.1
-25.403,128.354,326.2
-25.413,128.398,326.1
-28.112,129.676,344.6
-28.119,129.708,361.9
-28.116,129.701,354.1
-28.131,129.697,341.2
-27.924,128.419,324.8
-27.912,128.417,326.9
-27.922,128.456,328.7
-28.444,129.418,326.5
-28.451,129.451,332.5
-28.447,129.445,336.4
-28.453,128.474,347.9
-28.461,128.511,330.5
-28.458,128.465,338.1
-28.467,128.502,333.3
-28.737,128.87,324.7
-28.948,128.758,324.9
-28.941,128.754,326.4
-28.949,128.789,324.5
-29.036,128.252,341.4
-29.061,128.285,338.9
-29.026,128.249,327.1
-29.042,128.245,326.5
-29.051,128.282,330.8
-29.067,128.277,329.8
-29.24,128.041,323.1
-31.102,132.731,326.4
-31.113,132.741,326.3
-32.008,135.798,333.4
-32.017,135.796,335
-33.825,150.073,328.5
-33.825,150.066,327.6
-33.914,150.464,327
-33.912,150.459,323.3
-34.264,149.967,320.6
-34.264,149.961,320.7
-33.954,142.205,333.7
-33.964,142.203,329
-34.004,142.274,327.1
-35.193,150.48,327.4
-35.19,150.475,329.3
-35.624,148.185,328.1
-35.627,148.225,334.6
-35.62,148.221,327.4
-35.635,148.218,331.3
-35.883,147.593,330.3
-35.94,147.524,323
-35.895,147.587,328.5
-35.937,147.518,323.9
-35.76,141.338,347.4
-35.768,141.322,351.3
-35.77,141.337,411.8
-35.718,136.774,343.4
-35.719,136.785,359
-35.721,136.796,351.5
-35.723,136.807,369.7
-35.724,136.818,327.5
-35.725,136.761,352.5
-35.727,136.772,362.6
-35.73,136.794,348.8
-35.732,136.805,400.6
-35.733,136.816,335.7
-35.734,136.759,369.3
-35.737,136.781,345.5
-35.739,136.792,389.4
-35.741,136.803,379.8
-35.741,136.746,356.2
-35.743,136.757,344.8
-35.746,136.779,359.5
-35.748,136.79,399.9
-35.75,136.801,395.4
-35.75,136.744,344.9
-35.755,136.777,334.8
-35.757,136.788,392.4
-35.759,136.799,382.1
-35.758,136.731,335.3
-35.765,136.717,327.9
-35.767,136.729,339
-35.809,136.77,340
-35.814,136.803,363.7
-35.816,136.814,329.6
-35.824,136.744,377
-35.825,136.755,403.7
-35.831,136.731,379.1
-35.837,136.706,352.8
-35.838,136.717,352.6
-35.84,136.729,391.3
-37.361,147.627,309.9
-37.409,147.536,307.3
-37.904,145.243,314
-41.546,147.933,313.1
-41.562,147.931,387.2
-41.564,147.98,358
-41.579,147.931,342.6
-41.581,147.98,325.3
-41.551,147.924,352.8
-41.568,147.924,362.4
-41.57,147.973,354.4
-41.584,147.923,325.5
-41.67,148.006,326.9
-41.672,148.049,335.7
-41.623,147.918,327.1
-41.678,148.045,337
-41.679,148.091,317.8
-18.032,122.719,334.1
-18.034,122.737,329.6
-20.415,115.578,312.2
-21.397,120.747,327.3
-21.399,120.741,326.6
-20.913,115.332,316.2
-22.032,116.225,329.9
-22.457,117.722,332.7
-22.458,117.732,331.6
-22.466,117.721,337.1
-22.468,117.731,345.1
-22.575,117.183,331.7
-30.749,123.254,331.6
-30.751,123.285,348.4
-30.754,123.316,339.8
-30.766,123.283,360
-30.769,123.314,371.8
-30.771,123.346,352.2
-30.784,123.313,352
-30.786,123.344,358.2
-30.803,123.375,339.8
-30.806,123.407,336.6
-30.765,123.277,352.7
-30.767,123.308,367.8
-30.77,123.339,351
-30.782,123.306,346.2
-30.785,123.337,367.3
-30.804,123.4,340
-30.889,123.723,334.8
-30.889,123.523,344.5
-30.925,123.586,340
-30.927,123.619,364.6
-30.885,123.718,333.9
-30.887,123.517,345.6
-30.924,123.614,359.6
-30.935,123.546,341.9
-30.937,123.579,368
-30.94,123.612,370.7
-31.228,121.108,366
-31.239,121.084,355.4
-31.241,121.107,398.1
-31.227,121.103,352.9
-31.228,121.125,341.7
-31.239,121.101,398.4
-31.241,121.124,339.2
-31.637,119.72,329.4
-31.821,121.53,346.7
-31.834,121.528,346.9
-31.837,121.553,362.6
-31.816,121.524,330.3
-31.83,121.523,346
-31.832,121.548,346.5
